old_v_name,new_v_name,include,group
statecode,statecode,TRUE,ID
countycode,countycode,TRUE,ID
fipscode,fipscode,TRUE,ID
state,state,TRUE,ID
county,county,TRUE,ID
v037_rawvalue,low_birthweight_proportion,FALSE,
v009_rawvalue,adult_smoking_proportion,FALSE,
v011_rawvalue,adult_obesity_proportion,FALSE,
v049_rawvalue,adult_excessive_drinking_proportion,FALSE,
v134_rawvalue,alcohol_related_deaths_proportion_of_driving_deaths,FALSE,
v045_rawvalue,newly_diagnosed_chlamydia_count_per_100k,FALSE,
v014_rawvalue,teen_births_count_per_100k,FALSE,
v088_rawvalue,dentists_density,FALSE,
v005_rawvalue,preventable_hospital_stays_count_per_100k,FALSE,
v050_rawvalue,mammography_screening_proportion_of_female_medicare_65_to_74,FALSE,
v155_rawvalue,flu_vax_proportion,FALSE,
v043_rawvalue,violent_crime_count_per_100k,FALSE,
v135_rawvalue,deaths_from_injury_count_per_100k,FALSE,
v124_rawvalue,drinking_water_violations_indicator,FALSE,
v147_rawvalue,life_expectancy_years,FALSE,
v127_rawvalue,premature_mortality_count_per_100k,FALSE,
v060_rawvalue,adult_diabetes_proportion,FALSE,
v061_rawvalue,adult_hiv_proportion,FALSE,
v039_rawvalue,motor_vehicle_crash_deaths_count_per_100k,FALSE,
v003_rawvalue,adults_without_health_insurance_proportion,FALSE,
v122_rawvalue,children_without_health_insurance_proportion,FALSE,
v167_rawvalue,school_segregation_index,FALSE,
v151_rawvalue,women_to_mens_pay_ratio,FALSE,
v065_rawvalue,children_eligible_for_free_or_reduced_price_lunch_proportion,FALSE,
v142_rawvalue,residential_segregation_index,FALSE,
v172_rawvalue,childcare_centers_per_1k,FALSE,
v166_rawvalue,households_with_broadband_access_proportion,FALSE,
v159_rawvalue,third_grader_average_english_grade_level_performance,FALSE,
v160_rawvalue,third_grader_average_math_grade_level_performance,FALSE,
v169_rawvalue,school_district_funding_above_target_spend_dollars,FALSE,
v143_rawvalue,adults_insufficient_sleep_proportion,FALSE,
v131_rawvalue,other_primary_care_providers_density,FALSE,
v085_rawvalue,under_65_no_health_insurance_proportion,FALSE,
v023_rawvalue,over_15_unemployed_seeking_work_proportion,FALSE,
v001_rawvalue,premature_death_years_lost_per_100k,TRUE,Metric
v002_rawvalue,adults_poor_or_fair_health_proportion,TRUE,Metric
v036_rawvalue,poor_physical_health_days_in_last_30_days_count_per_person,TRUE,Metric
v042_rawvalue,poor_mental_health_days_in_last_30_days_count_per_person,TRUE,Metric
v133_rawvalue,food_environment_index,TRUE,Metric
v070_rawvalue,adults_physically_inactive_proportion,TRUE,Metric
v132_rawvalue,people_with_access_to_exercise_opportunities_proportion,TRUE,Metric
v004_rawvalue,primary_care_physicians_density,TRUE,Metric
v062_rawvalue,mental_health_providers_density,TRUE,Metric
v140_rawvalue,membership_associations_per_10k,TRUE,Metric
v125_rawvalue,air_pollution_particulate_matter_average_count,TRUE,Metric
v067_rawvalue,driving_alone_to_work_proportion_of_workforce,TRUE,Metric
v137_rawvalue,driving_alone_on_long_commute_proportion_of_workforce,TRUE,Metric
v144_rawvalue,adults_frequent_poor_physical_health_proportion,TRUE,Metric
v145_rawvalue,adults_frequent_poor_mental_health_proportion,TRUE,Metric
v139_rawvalue,food_insecurity_proportion,TRUE,Metric
v083_rawvalue,limited_access_to_healthy_food_proportion,TRUE,Metric
v171_rawvalue,childcare_costs_to_median_income_ratio,TRUE,Metric
v156_rawvalue,traffic_volume_count_per_roadway_meter,TRUE,Metric
v024_rawvalue,children_in_poverty_proportion,TRUE,Control
v044_rawvalue,income_inequality_ratio,TRUE,Control
v082_rawvalue,children_in_single_parent_households_proportion,TRUE,Control
v136_rawvalue,households_with_one_or_more_severe_housing_problem_proportion,TRUE,Control
v063_rawvalue,median_household_income,TRUE,Control
v153_rawvalue,owner_occupied_housing_units_proportion,TRUE,Control
v154_rawvalue,households_severe_housing_costs_proportion,TRUE,Control
v168_rawvalue,25_and_over_high_school_diploma_proportion,TRUE,Segment
v069_rawvalue,25_to_44_some_college_completed_proportion,TRUE,Segment
v051_rawvalue,population_count,TRUE,Segment
v052_rawvalue,below_18_proportion,TRUE,Segment
v053_rawvalue,above_65_proportion,TRUE,Segment
v054_rawvalue,race_black_proportion,TRUE,Segment
v055_rawvalue,race_native_proportion,TRUE,Segment
v081_rawvalue,race_asian_proportion,TRUE,Segment
v080_rawvalue,race_hawaiian_pacific_islander_proportion,TRUE,Segment
v056_rawvalue,race_hispanic_proportion,TRUE,Segment
v126_rawvalue,race_caucasian_proportion,TRUE,Segment
v059_rawvalue,not_proficient_in_english_proportion,TRUE,Segment
v057_rawvalue,female_proportion,TRUE,Segment
v058_rawvalue,rural_proportion,TRUE,Segment
