,statecode,countycode,fipscode,state,county,low_birthweight_proportion,adult_smoking_proportion,adult_obesity_proportion,adult_excessive_drinking_proportion,alcohol_related_deaths_proportion_of_driving_deaths,newly_diagnosed_chlamydia_count_per_100k,teen_births_count_per_100k,dentists_density,preventable_hospital_stays_count_per_100k,mammography_screening_proportion_of_female_medicare_65_to_74,flu_vax_proportion,violent_crime_count_per_100k,deaths_from_injury_count_per_100k,drinking_water_violations_indicator,life_expectancy_years,premature_mortality_count_per_100k,adult_diabetes_proportion,adult_hiv_proportion,motor_vehicle_crash_deaths_count_per_100k,adults_without_health_insurance_proportion,children_without_health_insurance_proportion,school_segregation_index,women_to_mens_pay_ratio,children_eligible_for_free_or_reduced_price_lunch_proportion,residential_segregation_index,childcare_centers_per_1k,households_with_broadband_access_proportion,third_grader_average_english_grade_level_performance,third_grader_average_math_grade_level_performance,school_district_funding_above_target_spend_dollars,adults_insufficient_sleep_proportion,other_primary_care_providers_density,under_65_no_health_insurance_proportion,over_15_unemployed_seeking_work_proportion,premature_death_years_lost_per_100k,adults_poor_or_fair_health_proportion,poor_physical_health_days_in_last_30_days_count_per_person,poor_mental_health_days_in_last_30_days_count_per_person,food_environment_index,adults_physically_inactive_proportion,people_with_access_to_exercise_opportunities_proportion,primary_care_physicians_density,mental_health_providers_density,membership_associations_per_10k,air_pollution_particulate_matter_average_count,driving_alone_to_work_proportion_of_workforce,driving_alone_on_long_commute_proportion_of_workforce,adults_frequent_poor_physical_health_proportion,adults_frequent_poor_mental_health_proportion,food_insecurity_proportion,limited_access_to_healthy_food_proportion,childcare_costs_to_median_income_ratio,traffic_volume_count_per_roadway_meter,children_in_poverty_proportion,income_inequality_ratio,children_in_single_parent_households_proportion,households_with_one_or_more_severe_housing_problem_proportion,median_household_income,owner_occupied_housing_units_proportion,households_severe_housing_costs_proportion,25_and_over_high_school_diploma_proportion,25_to_44_some_college_completed_proportion,population_count,below_18_proportion,above_65_proportion,race_black_proportion,race_native_proportion,race_asian_proportion,race_hawaiian_pacific_islander_proportion,race_hispanic_proportion,race_caucasian_proportion,not_proficient_in_english_proportion,female_proportion,rural_proportion,FIPS
2,01,001,01001,AL,Autauga County,0.0973815192,0.197,0.353,0.1616123561,0.3214285714,578.1,22.976945691,0.0003384095,4931.0,0.42,0.42,272.28222006,68.573069812,0.0,76.585649727,427.07332591,0.112,222.1,19.009599848,0.1196066271,0.0265310635,0.05526245,0.7220387679,0.4548245614,24.907957471,4.6367851623,0.8270791781,3.12696818,2.91727955,-2618.608,0.3844333214,0.0004452756,0.0935123905,0.0488427897,8027.3947267,0.201,4.5100424038,5.4190677155,6.5,0.322,0.6275860805,0.0004474753,0.0003740315,12.88728991,9.5,0.8670888613,0.405,0.142,0.171,0.157,0.1302099797,0.1752682602,155.09552349,0.149,5.1354458777,0.2760404778,0.1472886574,67565.0,0.7462312723,0.1383276945,0.8871368199,0.607217355,56145,0.2318461127,0.1617597293,0.2031881735,0.0047377327,0.0117018434,0.0010864725,0.0310089946,0.731659097,0.0069269521,0.5150770327,0.4200216232,01001
3,01,003,01003,AL,Baldwin County,0.0838573118,0.199,0.296,0.2150352994,0.3220338983,336.0,23.734320007,0.0004884708,3578.0,0.44,0.46,203.66039629,74.835078875,0.0,77.724729177,381.70203137,0.094,172.9,16.849943232,0.137782924,0.0340819821,0.0901750956,0.7474647914,0.4613228529,28.948138935,5.5183946488,0.850690685,3.192380762,3.037911538,333.9424,0.3637796048,0.0006978154,0.109067738,0.0560648182,8118.3582061,0.172,4.168866136,5.173915124,7.4,0.276,0.745079966,0.0006898591,0.0009943869,10.123905857,7.2,0.8299656018,0.379,0.125,0.161,0.134,0.0793677936,0.1711674984,133.60484222,0.124,4.3864778271,0.1836382244,0.1242050369,71135.0,0.7699977394,0.1145081422,0.9047138458,0.6553210756,229287,0.2112854196,0.2158212197,0.0847889326,0.0077980871,0.0110298447,0.0006629246,0.046339304,0.8330825559,0.0077206791,0.5158905651,0.4227909911,01003
4,01,005,01005,AL,Barbour County,0.1191467222,0.278,0.404,0.1392764247,0.375,895.2,34.700315457,0.0003660173,4548.0,0.46,0.36,414.27786068,82.143056519,0.0,72.867210115,589.56609455,0.165,498.2,27.969367948,0.1684114324,0.0355892649,0.0370072178,0.7294148923,0.6020615337,19.350653278,6.006006006,0.6463205321,2.389161313,2.00862944,-15097.365,0.408895893,0.0006100289,0.1299147324,0.0704553395,12876.760319,0.311,5.8844146337,6.1098993294,5.7,0.416,0.498379284,0.0003645791,0.0002440115,7.2915822734,9.0,0.840327294,0.368,0.191,0.205,0.207,0.1043317167,0.2431688365,102.45967278,0.375,5.9949269327,0.5404059747,0.1545998911,38866.0,0.6195022527,0.1238553651,0.7473169635,0.3835575486,24589,0.2047256903,0.2026109236,0.4780999634,0.0069949978,0.0045548823,0.0020334296,0.0467282118,0.452641425,0.0182746687,0.4718370003,0.677896347,01005
5,01,007,01007,AL,Bibb County,0.1003307607,0.252,0.412,0.1601675952,0.2142857143,540.3,34.166872988,0.0002710517,6329.0,0.37,0.33,89.349125982,103.34904358,0.0,73.609363092,567.50814595,0.127,208.4,26.05987415,0.1389869469,0.0308721934,0.0920696582,0.7850586656,0.5914276904,45.908037304,3.9904229848,0.7612618818,2.688775131,2.56336673,-4279.571,0.4011005848,0.001445609,0.1099324976,0.0663194444,11191.474323,0.25,5.161337369,5.8460957209,7.6,0.377,0.1060440759,0.0005805126,0.0002710517,8.930963651,9.4,0.8765264586,0.553,0.164,0.191,0.163,0.0044586621,0.2140570059,26.588748145,0.219,5.3940513578,0.3670411985,0.1118421053,50907.0,0.7477613996,0.0939306358,0.8088446863,0.3777040897,22136,0.1999457897,0.1707625587,0.2097940007,0.0046078786,0.002574991,0.0012197326,0.0293187568,0.741778099,0.0035509682,0.4681514275,0.6835260746,01007
6,01,009,01009,AL,Blount County,0.0785988894,0.222,0.387,0.1617350466,0.1505376344,404.7,29.509795952,0.0001900517,4260.0,0.37,0.4,482.69061089,104.7493276,0.0,74.1714626,532.83648174,0.114,72.3,30.643463304,0.1806290505,0.0467602356,0.1084336851,0.8535882835,0.5240126901,30.143480312,4.5649072753,0.7962273049,2.901714404,2.781496533,-574.207,0.3884710906,0.0002591614,0.1427102744,0.0408742549,10787.014541,0.232,4.9483926568,5.7382383487,7.8,0.333,0.23376714,0.0002248124,0.0001727742,7.4361014077,9.4,0.8834157978,0.598,0.156,0.183,0.145,0.0251220602,0.2185569625,43.309561964,0.189,4.7649692755,0.2255841821,0.1046116505,55203.0,0.7607639708,0.0877586383,0.8282513689,0.5626659014,57879,0.2280274365,0.1900343821,0.0152732425,0.0062889822,0.0038010332,0.0012094197,0.0954404879,0.8679832063,0.014764977,0.5055719691,0.8995150204,01009
7,01,011,01011,AL,Bullock County,0.1506228766,0.252,0.438,0.1344554277,0.347826087,742.5,40.344271114,0.0002004812,3775.0,0.41,0.28,311.0273327,98.258853123,0.0,73.81468226,556.11029653,0.178,608.4,49.760871368,0.1475752508,0.0238208671,0.0081406272,0.6832526011,0.7546264565,27.517585973,8.4175084175,0.6062992126,2.110535605,1.96826778,-19216.87,0.4465271376,0.0009021652,0.11099631,0.0550020756,11406.351094,0.311,5.5124304874,5.6940702734,4.6,0.413,0.0187832142,0.0002970003,0.0002004812,7.92000792,9.0,0.8047678795,0.471,0.18,0.189,0.157,0.3233919039,0.3575051322,40.415459174,0.387,8.1070646221,0.5885209713,0.1731301939,33124.0,0.7381160688,0.1275964392,0.7494103774,0.2808249232,9976,0.2081996792,0.1767241379,0.6868484362,0.0088211708,0.0027064956,0.0076182839,0.088712911,0.2109061748,0.0156592546,0.4525862069,0.5137438153,01011
8,01,013,01013,AL,Butler County,0.1282853567,0.246,0.397,0.1355700813,0.3518518519,1064.4,38.782523319,0.0003589007,5885.0,0.39,0.28,581.58400519,105.63201463,0.0,73.473279047,606.51274825,0.151,396.2,38.155573953,0.1466570162,0.0336715867,0.1126745388,0.8178666878,0.7984417344,29.892479149,4.3066322136,0.7360505339,2.526134007,2.118341767,-10514.71,0.4197116999,0.0008203445,0.115727003,0.0884496466,12717.030159,0.271,5.3398672065,5.9515484185,6.9,0.407,0.4163842078,0.0002570958,0.0006665299,9.2554504319,8.8,0.8636939448,0.371,0.173,0.196,0.165,0.0691828694,0.2801646636,58.023786999,0.308,5.7044203696,0.4110429448,0.1251862891,42268.0,0.7327417657,0.1083184693,0.8635311143,0.3712137038,19504,0.2205701395,0.2138535685,0.4460110747,0.0039479081,0.0136382281,0.0004101723,0.0165607055,0.509792863,0.0031780232,0.5342493847,0.7123215735,01013
9,01,015,01015,AL,Calhoun County,0.094372108,0.226,0.359,0.1617061711,0.1428571429,729.7,30.487338383,0.0006785994,5234.0,0.35,0.39,756.06654427,92.519581559,0.0,72.825007074,587.11909177,0.127,272.0,21.938954858,0.1514969701,0.0297716313,0.2098309829,0.7779538205,0.5995933779,41.353138141,4.9534674272,0.7976532352,2.945480411,2.786958409,-4322.30736,0.3826870475,0.0007050384,0.1190381426,0.0705017301,11826.11499,0.237,4.9393331139,5.7384222945,5.9,0.326,0.4915747394,0.0006161701,0.0014188897,13.379692795,9.4,0.8459101565,0.299,0.157,0.191,0.172,0.15398073,0.1880459221,170.81422572,0.167,4.7555305953,0.3098093418,0.1295658932,50259.0,0.7038050794,0.0973958823,0.8507351172,0.5797626092,113469,0.2140055874,0.1853369643,0.2119433502,0.0052701619,0.0088306057,0.0011192484,0.0411389895,0.713957116,0.0070033995,0.5191021336,0.3369682556,01015
10,01,017,01017,AL,Chambers County,0.1265306122,0.236,0.395,0.1419632837,0.3,721.7,37.354951518,0.0002129925,4068.0,0.37,0.43,528.99973623,101.02217706,0.0,73.761104989,530.58104964,0.139,407.0,25.054248818,0.1542930591,0.0278014184,0.1647682154,0.7525638024,0.7098375451,32.819479794,6.0483870968,0.7452510676,2.634106621,2.497681651,-13302.8415,0.4051051084,0.0001521375,0.1216412769,0.0679483139,11059.443876,0.253,5.109041175,5.8121735023,7.0,0.369,0.567295046,0.0004510736,3.04275e-05,18.042942202,9.3,0.8741805879,0.307,0.163,0.19,0.154,0.0810298845,0.3280431355,114.66751279,0.262,4.4609294674,0.3178607467,0.1513133555,39318.0,0.672434104,0.0979982997,0.8258382062,0.5436427851,32865,0.2052943861,0.2059333638,0.3995435874,0.0034991632,0.0114711699,0.0005781226,0.0278411684,0.5478472539,0.0035301975,0.5233531112,0.4914803449,01017
11,01,019,01019,AL,Cherokee County,0.0829238329,0.247,0.343,0.1639801671,0.1777777778,274.9,32.86565443,0.000152126,5476.0,0.4,0.49,330.43879198,98.382832196,1.0,74.014400904,543.28650871,0.114,118.6,31.868131868,0.160482313,0.0367789392,0.0672417485,0.7736446379,0.6109828073,41.137449973,6.2056737589,0.749907715,2.784754319,2.646747671,521.2178,0.3786397167,0.0007606298,0.1298178525,0.0460349171,11395.898384,0.237,5.1899400425,6.0469633949,7.2,0.36,0.246527377,0.0003817377,0.0002281889,8.3982287372,9.2,0.8598863414,0.464,0.164,0.198,0.161,0.0500865225,0.1699214099,1.0239642567,0.233,4.4754098361,0.2044453344,0.1098538425,50388.0,0.7822997416,0.0650170307,0.8282400878,0.532718894,26294,0.1848710732,0.2427169697,0.0411120408,0.0070738572,0.0047159048,0.0003042519,0.0183311782,0.9145052103,0.0110410728,0.5043736214,0.8573627304,01019
