,FIPS,State,County,Number of Counties Included in Health Groups,Health_Z_Score,Health Group,Health Group Range,Community_Z_Score,Health Group.1,Health Group Range.1
1,01001,Alabama,Autauga,67,-0.0408937137,5.0,-0.05 to 0.27,0.114427885,5.0,-0.17 to 0.03
2,01003,Alabama,Baldwin,67,0.309818044,4.0,-0.38 to -0.06,0.386812059,3.0,-0.58 to -0.37
3,01005,Alabama,Barbour,67,-1.116797271,8.0,0.96 to 1.38,-0.8229735094,9.0,0.73 to 1.09
4,01007,Alabama,Bibb,67,-0.6650552323,7.0,0.6 to 0.95,-0.5945009641,8.0,0.47 to 0.72
5,01009,Alabama,Blount,67,-0.3569643885,6.0,0.28 to 0.6,-0.1479884544,6.0,0.03 to 0.24
6,01011,Alabama,Bullock,67,-1.8991973922,9.0,1.39 to 1.93,-1.2805167403,10.0,1.09 to 1.98
7,01013,Alabama,Butler,67,-1.3196926424,8.0,0.96 to 1.38,-0.5798511383,8.0,0.47 to 0.72
8,01015,Alabama,Calhoun,67,-0.8588746532,7.0,0.6 to 0.95,-0.2605203142,7.0,0.24 to 0.46
9,01017,Alabama,Chambers,67,-1.0289725268,8.0,0.96 to 1.38,-0.364935885,7.0,0.24 to 0.46
10,01019,Alabama,Cherokee,67,-0.3556973598,6.0,0.28 to 0.6,-0.1429991733,6.0,0.03 to 0.24
11,01021,Alabama,Chilton,67,-0.3492380209,6.0,0.28 to 0.6,-0.1944934443,6.0,0.03 to 0.24
12,01023,Alabama,Choctaw,67,-0.9154528367,7.0,0.6 to 0.95,-0.8387518073,9.0,0.73 to 1.09
13,01025,Alabama,Clarke,67,-1.6270939502,9.0,1.39 to 1.93,-0.7540072575,9.0,0.73 to 1.09
14,01027,Alabama,Clay,67,-0.7297677647,7.0,0.6 to 0.95,-0.14798942,6.0,0.03 to 0.24
15,01029,Alabama,Cleburne,67,-0.5156314464,6.0,0.28 to 0.6,-0.2750468154,7.0,0.24 to 0.46
16,01031,Alabama,Coffee,67,0.010389278,5.0,-0.05 to 0.27,-0.1574854706,6.0,0.03 to 0.24
17,01033,Alabama,Colbert,67,-0.5113577442,6.0,0.28 to 0.6,-0.0078972201,5.0,-0.17 to 0.03
